Date,Open,High,Low,Close,Adj Close,Volume
6/29/2021,234.570007,236.520004,234.149994,235.949997,235.949997,11897700
6/30/2021,235.110001,236.399994,233.820007,233.820007,233.820007,7797100
7/1/2021,234.199997,236.25,234.050003,235.149994,235.149994,5329600
7/2/2021,235.830002,238.779999,235.820007,238.630005,238.630005,4383700
7/6/2021,239.5,240.610001,237.210007,239.600006,239.600006,8048700
7/7/2021,240.259995,241.039993,238.300003,240,240,4366100
7/8/2021,236.970001,237.070007,234.550003,236.610001,236.610001,6388000
7/9/2021,238.759995,239.449997,237.419998,238.470001,238.470001,5615900
7/12/2021,237.580002,238.509995,237.270004,237.869995,237.869995,7010700
7/13/2021,238.25,242.479996,238.25,242.350006,242.350006,8079200
7/14/2021,243.220001,246.809998,242.820007,245.990005,245.990005,8693400
7/15/2021,245.309998,248.800003,245.309998,248.550003,248.550003,10135100
7/16/2021,249.990005,250.460007,247.520004,248.119995,248.119995,8673600
7/19/2021,243.990005,244.449997,238.899994,240.410004,240.410004,11474600
7/20/2021,240.639999,244.210007,239.509995,242.699997,242.699997,7071600
7/21/2021,243.289993,246.899994,242.300003,243.660004,243.660004,11239300
7/22/2021,243.779999,245.350006,243.149994,244.139999,244.139999,10293600
7/23/2021,246.759995,250.009995,246.759995,249.020004,249.020004,6762000
7/26/2021,249.210007,250.360001,247.699997,250.25,250.25,4875500
